   n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, merge_cmp, merge_swaps, merge_time, selection_cmp, selection_swaps, selection_time, bubble_cmp, bubble_swaps, bubble_time
 575,           851,             278,            211,      4784,         820,       1377,      2693,           0,       1423,        165600,             162,          27880,     165025,          278,       26958
 576,           853,             279,            215,      4784,         811,       1372,      2702,           0,       1425,        166176,             163,          27952,     165600,          279,       27130
 577,           855,             280,            216,      4793,         810,       1368,      2705,           0,       1461,        166753,             164,          28007,     166176,          280,       27144
 578,           858,             282,            213,      4815,         810,       1378,      2706,           0,       1439,        167331,             164,          28217,     166753,          282,       27287
 579,           859,             282,            214,      4807,         815,       1379,      2714,           0,       1449,        167910,             164,          28244,     167331,          282,       27327
 580,           860,             282,            212,      4808,         818,       1381,      2730,           0,       1439,        168490,             164,          28450,     167910,          282,       27422
 581,           861,             282,            214,      4810,         823,       1389,      2732,           0,       1442,        169071,             164,          28400,     168490,          282,       27522
 582,           863,             283,            215,      4830,         834,       1396,      2720,           0,       1440,        169653,             165,          28637,     169071,          283,       27736
 583,           864,             283,            216,      4844,         826,       1391,      2723,           0,       1436,        170236,             165,          28699,     169653,          283,       27773
 584,           865,             283,            218,      4852,         827,       1400,      2726,           0,       1453,        170820,             165,          28713,     170236,          283,       27891
 585,           866,             283,            219,      4835,         823,       1386,      2729,           0,       1445,        171405,             165,          28900,     170820,          283,       28057
 586,           869,             285,            234,      4843,         822,       1391,      2730,           0,       1446,        171991,             167,          28995,     171405,          285,       28110
 587,           870,             285,            224,      4865,         836,       1482,      2747,           0,       1608,        172578,             167,          30994,     171991,          285,       28221
 588,           871,             285,            221,      4886,         832,       1401,      2757,           0,       1456,        173166,             167,          29229,     172578,          285,       28251
 589,           872,             285,            237,      4902,         835,       1437,      2762,           0,       1461,        173755,             167,          29402,     173166,          285,       28612
 590,           875,             287,            222,      4924,         843,       1426,      2761,           0,       1457,        174345,             169,          29481,     173755,          287,       28549
 591,           876,             287,            222,      4929,         847,       1417,      2771,           0,       1481,        174936,             169,          29603,     174345,          287,       29031
 592,           877,             287,            227,      4927,         848,       1459,      2774,           0,       1502,        175528,             169,          31462,     174936,          287,       31349
 593,           878,             287,            253,      4932,         836,       1593,      2775,           0,       1650,        176121,             169,          33255,     175528,          287,       31131
 594,           880,             288,            233,      4934,         836,       1495,      2784,           0,       1550,        176715,             170,          31808,     176121,          288,       30663
 595,           882,             289,            235,      4923,         835,       1489,      2792,           0,       1555,        177310,             171,          31525,     176715,          289,       30509
 596,           883,             289,            238,      4927,         834,       1487,      2793,           0,       1553,        177906,             171,          31938,     177310,          289,       29948
 597,           884,             289,            228,      4964,         825,       1453,      2808,           0,       1530,        178503,             171,          31067,     177906,          289,       30086
 598,           885,             289,            228,      4967,         841,       1465,      2805,           0,       1518,        179101,             171,          31363,     178503,          289,       30361
 599,           886,             289,            230,      4971,         842,       1497,      2818,           0,       1606,        179700,             171,          31208,     179101,          289,       30077
 600,           887,             289,            231,      4978,         845,       1466,      2819,           0,       1526,        180300,             171,          31282,     179700,          289,       30362
 601,           888,             289,            229,      4980,         836,       1481,      2822,           0,       1552,        180901,             171,          31433,     180300,          289,       30381
 602,           890,             290,            231,      4968,         837,       1463,      2816,           0,       1530,        181503,             172,          31457,     180901,          290,       30432
 603,           892,             291,            243,      5035,         854,       1556,      2827,           0,       1648,        182106,             173,          31795,     181503,          291,       29878
 604,           896,             294,            228,      5048,         857,       1451,      2845,           0,       1548,        182710,             172,          30864,     182106,          294,       29980
 605,           897,             294,            227,      5069,         859,       1461,      2850,           0,       1506,        183315,             172,          31357,     182710,          294,       30168
 606,           898,             294,            226,      5083,         861,       1461,      2846,           0,       1507,        183921,             172,          31791,     183315,          294,       31005
 607,           899,             294,            234,      5043,         867,       1498,      2844,           0,       1550,        184528,             172,          31993,     183921,          294,       31122
 608,           900,             294,            236,      5048,         857,       1490,      2863,           0,       1600,        185136,             172,          32187,     184528,          294,       31203
 609,           902,             295,            238,      5064,         859,       1505,      2866,           0,       1559,        185745,             173,          32224,     185136,          295,       31277
 610,           903,             295,            233,      5070,         858,       1519,      2857,           0,       1550,        186355,             173,          32297,     185745,          295,       31365
 611,           904,             295,            233,      5104,         855,       1507,      2861,           0,       1564,        186966,             173,          32382,     186355,          295,       32389
 612,           906,             296,            245,      5123,         869,       1550,      2883,           0,       1638,        187578,             174,          32932,     186966,          296,       30736
 613,           907,             296,            239,      5111,         863,       1468,      2885,           0,       1522,        188191,             174,          31939,     187578,          296,       31505
 614,           908,             296,            228,      5122,         862,       1470,      2885,           0,       1529,        188805,             174,          32076,     188191,          296,       31260
 615,           909,             296,            226,      5169,         871,       1497,      2884,           0,       1530,        189420,             174,          32294,     188805,          296,       31755
 616,           910,             296,            241,      5156,         874,       1507,      2905,           0,       1532,        190036,             174,          32848,     189420,          296,       32788
 617,           912,             297,            226,      5152,         866,       1483,      2904,           0,       1528,        190653,             175,          32433,     190036,          297,       32253
 618,           913,             297,            284,      5161,         865,       1563,      2905,           0,       1712,        191271,             175,          34010,     190653,          297,       31656
 619,           914,             297,            231,      5191,         880,       1513,      2910,           0,       1547,        191890,             175,          32361,     191271,          297,       31423
 620,           915,             297,            232,      5195,         877,       1494,      2930,           0,       1568,        192510,             175,          32832,     191890,          297,       32148
 621,           917,             298,            228,      5218,         884,       1520,      2931,           0,       1661,        193131,             176,          32645,     192510,          298,       32457
 622,           918,             298,            240,      5216,         877,       1574,      2930,           0,       1545,        193753,             176,          32628,     193131,          298,       31729
