   n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, merge_cmp, merge_swaps, merge_time, selection_cmp, selection_swaps, selection_time, bubble_cmp, bubble_swaps, bubble_time
 379,         35257,           34883,           7462,      4684,        1033,        823,      2767,           0,        804,         72010,             369,           6333,      71631,        34883,       10425
 380,         35567,           35192,           7528,      4608,        1054,        822,      2775,           0,        802,         72390,             374,           6356,      72010,        35192,       10483
 381,         35938,           35562,           7661,      4775,        1052,        840,      2774,           0,        802,         72771,             373,           6381,      72390,        35562,       10566
 382,         36039,           35662,           7648,      4775,        1048,        836,      2792,           0,        808,         73153,             376,           6431,      72771,        35662,       10614
 383,         36421,           36043,           7735,      4627,        1045,        825,      2805,           0,        814,         73536,             371,           6464,      73153,        36043,       10695
 384,         36746,           36367,           7801,      4428,        1031,        794,      2803,           0,        813,         73920,             379,           6489,      73536,        36367,       10776
 385,         36972,           36592,           7870,      4878,        1028,        846,      2812,           0,        829,         74305,             378,           6571,      73920,        36592,       11159
 386,         37178,           36797,           8136,      4572,        1061,        841,      2822,           0,        827,         74691,             381,           6592,      74305,        36797,       10912
 387,         37310,           36928,           7918,      4723,        1058,        838,      2836,           0,        824,         75078,             382,           6628,      74691,        36928,       10961
 388,         37429,           37046,           7955,      4770,        1083,        848,      2836,           0,        828,         75466,             382,           6905,      75078,        37046,       11018
 389,         37507,           37123,           7974,      5170,        1049,        888,      2841,           0,        829,         75855,             379,           6661,      75466,        37123,       11075
 390,         37838,           37453,           8036,      4703,        1077,        844,      2859,           0,        832,         76245,             385,           6708,      75855,        37453,       11144
 391,         37984,           37598,           8062,      4829,        1082,        857,      2865,           0,        832,         76636,             387,           6839,      76245,        37598,       11507
 392,         38182,           37795,           8346,      4655,        1098,        865,      2877,           0,        861,         77028,             386,           6961,      76636,        37795,       11507
 393,         38499,           38111,           8311,      4794,        1116,        861,      2886,           0,        848,         77421,             385,           6882,      77028,        38111,       11335
 394,         38817,           38428,           8236,      4842,        1098,        866,      2912,           0,        858,         77815,             391,           6870,      77421,        38428,       11379
 395,         39153,           38763,           8316,      4773,        1072,        848,      2910,           0,        851,         78210,             392,           6958,      77815,        38763,       11759
 396,         39259,           38868,           8574,      4913,        1093,        893,      2917,           0,        844,         78606,             390,           6909,      78210,        38868,       11503
 397,         39562,           39170,           8448,      4875,        1091,        864,      2932,           0,        849,         79003,             392,           6994,      78606,        39170,       11630
 398,         39955,           39562,           8500,      4871,        1099,        864,      2925,           0,        895,         79401,             397,           7073,      79003,        39562,       11986
 399,         40252,           39858,           8814,      5086,        1109,        915,      2924,           0,        872,         79800,             393,           7227,      79401,        39858,       12000
 400,         40513,           40118,           8725,      5256,        1100,        920,      2966,           0,        858,         80200,             394,           7071,      79800,        40118,       11814
 401,         40634,           40238,           9282,      5223,        1102,        906,      2974,           0,        859,         80601,             391,           7117,      80200,        40238,       12096
 402,         40717,           40320,           8794,      5148,        1085,        894,      2961,           0,        861,         81003,             398,           7148,      80601,        40320,       11976
 403,         40951,           40553,           8710,      5280,        1127,        921,      2969,           0,        859,         81406,             399,           7254,      81003,        40553,       11967
 404,         41354,           40956,           8784,      5002,        1125,        893,      2986,           0,        867,         81810,             396,           7223,      81406,        40956,       12392
 405,         41362,           40963,           9092,      4901,        1106,        891,      3003,           0,        891,         82215,             397,           7444,      81810,        40963,       12441
 406,         41431,           41031,           9072,      4940,        1122,        899,      3011,           0,        868,         82621,             402,           7333,      82215,        41031,       12115
 407,         41509,           41108,           8862,      4949,        1133,        885,      3007,           0,        885,         83028,             400,           7328,      82621,        41108,       12164
 408,         41828,           41426,           8888,      4971,        1131,        887,      3025,           0,        879,         83436,             406,           7354,      83028,        41426,       12247
 409,         42131,           41728,           9016,      5032,        1157,        901,      3035,           0,        880,         83845,             405,           7450,      83436,        41728,       12643
 410,         42475,           42071,           9048,      5470,        1098,        942,      3031,           0,        900,         84255,             402,           7510,      83845,        42071,       12438
 411,         42871,           42466,           9124,      5297,        1115,        921,      3042,           0,        885,         84666,             401,           7498,      84255,        42466,       12912
