   n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, merge_cmp, merge_swaps, merge_time, selection_cmp, selection_swaps, selection_time, bubble_cmp, bubble_swaps, bubble_time
   0,             0,               0,              1,         0,           0,          0,         0,           0,          0,             0,               0,              0,          0,            0,           0
   1,             0,               0,              0,         0,           0,          0,         0,           0,          0,             1,               0,              0,          0,            0,           0
   2,             1,               0,              0,         2,           2,          2,         1,           0,          0,             3,               0,              0,          1,            0,           0
   3,             3,               1,              1,         4,           4,          2,         2,           0,          3,             6,               1,              2,          3,            1,           0
   4,             4,               1,              1,         8,           5,          4,         5,           0,          3,            10,               1,              1,          6,            1,           1
   5,             8,               4,              1,        10,           7,          3,         8,           0,          5,            15,               2,              4,         10,            4,           3
   6,            11,               6,              2,        15,           8,          8,        10,           0,          8,            21,               2,              4,         15,            6,           3
   7,            16,              10,              4,        20,          10,          5,        13,           0,          6,            28,               4,              5,         21,           10,           4
   8,            20,              13,              4,        23,          11,          6,        16,           0,          7,            36,               5,              6,         28,           13,           5
   9,            26,              18,              4,        29,          14,          7,        19,           0,          9,            45,               6,              6,         36,           18,           6
  10,            28,              19,              5,        34,          16,          9,        25,           0,         10,            55,               7,              6,         45,           19,           7
  11,            30,              20,              6,        39,          18,         10,        27,           0,         12,            66,               8,              8,         55,           20,           9
  12,            33,              22,              5,        42,          17,         10,        28,           0,         13,            78,               8,             10,         66,           22,          10
  13,            34,              22,              6,        51,          21,         13,        32,           0,         13,            91,               8,             11,         78,           22,          11
  14,            42,              29,              8,        65,          23,         15,        38,           0,         14,           105,               9,             13,         91,           29,          12
  15,            51,              37,             10,        56,          26,         13,        42,           0,         16,           120,              11,             15,        105,           37,          15
  16,            62,              47,             11,        62,          24,         15,        46,           0,         19,           136,              13,             16,        120,           47,          18
  17,            78,              62,             14,        75,          27,         18,        51,           0,         20,           153,              12,             18,        136,           62,          20
  18,            91,              74,             17,        85,          31,         20,        53,           0,         21,           171,              16,             20,        153,           74,          24
  19,            96,              78,             18,        99,          35,         22,        59,           0,         24,           190,              16,             22,        171,           78,          25
  20,           110,              91,             21,       103,          35,         22,        66,           0,         25,           210,              17,             24,        190,           91,          28
  21,           128,             108,             25,       105,          33,         21,        72,           0,         26,           231,              18,             34,        210,          108,          34
  22,           131,             110,             32,       111,          34,         30,        75,           0,         30,           253,              18,             30,        231,          110,          37
  23,           132,             110,             27,       118,          41,         27,        76,           0,         32,           276,              18,             31,        253,          110,          41
  24,           154,             131,             32,       115,          41,         27,        80,           0,         34,           300,              19,             34,        276,          131,          46
  25,           176,             152,             38,       152,          40,         30,        84,           0,         35,           325,              16,             36,        300,          152,          50
  26,           189,             164,             41,       144,          36,         30,        92,           0,         38,           351,              20,             41,        325,          164,          55
  27,           213,             187,             46,       138,          49,         33,        95,           0,         38,           378,              21,             42,        351,          187,          59
  28,           235,             208,             51,       155,          57,         36,       104,           0,         40,           406,              24,             45,        378,          208,          63
  29,           250,             222,             51,       161,          58,         37,       108,           0,         41,           435,              26,             51,        406,          222,          66
  30,           266,             237,             62,       158,          56,         38,       113,           0,         45,           465,              27,             54,        435,          237,          74
  31,           275,             245,             59,       177,          56,         39,       117,           0,         51,           496,              27,             57,        465,          245,          80
  32,           286,             255,             61,       181,          59,         44,       120,           0,         52,           528,              29,             59,        496,          255,          93
  33,           312,             280,             68,       232,          60,         49,       126,           0,         50,           561,              30,             73,        528,          280,         100
  34,           342,             309,             92,       230,          69,         51,       133,           0,         53,           595,              27,             65,        561,          309,         103
  35,           373,             339,             82,       215,          71,         50,       136,           0,         54,           630,              31,             88,        595,          339,         121
  36,           385,             350,            105,       231,          74,         50,       145,           0,         69,           666,              32,             86,        630,          350,         103
  37,           414,             378,             87,       253,          77,         50,       147,           0,         52,           703,              32,             70,        666,          378,         104
  38,           437,             400,             90,       242,          79,         50,       152,           0,         55,           741,              32,             74,        703,          400,         112
  39,           457,             419,            111,       245,          84,         56,       160,           0,         70,           780,              35,             82,        741,          419,         123
  40,           482,             443,            113,       253,          86,         62,       169,           0,         64,           820,              37,             88,        780,          443,         137
  41,           513,             473,            135,       266,          86,         70,       175,           0,         61,           861,              37,             92,        820,          473,         154
  42,           535,             494,            113,       268,          87,         56,       178,           0,         61,           903,              36,             87,        861,          494,         165
  43,           573,             531,            153,       294,          91,         65,       183,           0,         64,           946,              39,             93,        903,          531,         159
  44,           580,             537,            134,       298,          92,         59,       193,           0,         66,           990,              39,             98,        946,          537,         164
  45,           618,             574,            124,       360,          89,         66,       199,           0,         68,          1035,              40,            103,        990,          574,         156
  46,           622,             577,            126,       367,          94,         66,       197,           0,         68,          1081,              41,            104,       1035,          577,         162
  47,           656,             610,            133,       354,          93,         72,       200,           0,         72,          1128,              44,            108,       1081,          610,         171
  48,           692,             645,            141,       347,          96,         66,       206,           0,         78,          1176,              43,            113,       1128,          645,         178
  49,           720,             672,            146,       360,          98,         67,       212,           0,         72,          1225,              40,            116,       1176,          672,         183
  50,           735,             686,            150,       383,         101,         72,       219,           0,         75,          1275,              46,            123,       1225,          686,         190
  51,           776,             726,            158,       363,         110,         74,       229,           0,         77,          1326,              44,            127,       1275,          726,         200
  52,           789,             738,            160,       365,         108,         72,       232,           0,         78,          1378,              46,            131,       1326,          738,         205
  53,           791,             739,            165,       404,         114,         77,       236,           0,         79,          1431,              47,            134,       1378,          739,         246
  54,           832,             779,            169,       404,         115,         78,       244,           0,         82,          1485,              49,            141,       1431,          779,         220
  55,           863,             809,            176,       382,         112,         75,       248,           0,         83,          1540,              51,            146,       1485,          809,         231
  56,           882,             827,            180,       424,         119,         80,       263,           0,         87,          1596,              53,            154,       1540,          827,         250
  57,           896,             840,            184,       406,         125,         81,       267,           0,         88,          1653,              54,            159,       1596,          840,         241
  58,           906,             849,            194,       413,         122,         81,       267,           0,         91,          1711,              55,            163,       1653,          849,         251
  59,           947,             889,            192,       446,         133,         88,       280,           0,         93,          1770,              57,            166,       1711,          889,         257
  60,           960,             901,            197,       472,         131,         90,       287,           0,         95,          1830,              57,            171,       1770,          901,         264
  61,          1020,             961,            211,       488,         135,         92,       289,           0,        106,          1891,              55,            187,       1830,          961,         277
  62,          1042,             982,            213,       475,         134,         91,       297,           0,         97,          1953,              58,            182,       1891,          982,         283
  63,          1058,             997,            216,       503,         135,         94,       303,           0,        103,          2016,              59,            244,       1953,          997,         319
  64,          1060,             998,            259,       505,         142,        104,       309,           0,        138,          2080,              60,            251,       2016,          998,         360
  65,          1094,            1031,            224,       486,         147,         97,       316,           0,        104,          2145,              59,            199,       2080,         1031,         307
  66,          1104,            1040,            225,       528,         146,        100,       318,           0,        105,          2211,              64,            206,       2145,         1040,         310
  67,          1130,            1065,            234,       535,         146,        101,       325,           0,        107,          2278,              63,            211,       2211,         1065,         323
  68,          1183,            1117,            257,       512,         147,         99,       335,           0,        111,          2346,              65,            218,       2278,         1117,         331
  69,          1184,            1117,            247,       545,         151,        103,       339,           0,        120,          2415,              65,            224,       2346,         1117,         338
  70,          1225,            1157,            250,       575,         160,        118,       343,           0,        113,          2485,              63,            228,       2415,         1157,         384
  71,          1255,            1186,            276,       568,         150,        106,       350,           0,        114,          2556,              66,            237,       2485,         1186,         361
  72,          1305,            1235,            265,       540,         159,        106,       361,           0,        117,          2628,              67,            245,       2556,         1235,         380
  73,          1375,            1304,            284,       580,         164,        111,       368,           0,        121,          2701,              68,            249,       2628,         1304,         387
  74,          1406,            1334,            302,       562,         166,        128,       370,           0,        122,          2775,              70,            266,       2701,         1334,         398
  75,          1471,            1398,            300,       569,         174,        112,       373,           0,        122,          2850,              70,            262,       2775,         1398,         409
  76,          1539,            1465,            317,       585,         170,        113,       382,           0,        144,          2926,              69,            293,       2850,         1465,         452
  77,          1570,            1495,            342,       618,         171,        123,       390,           0,        194,          3003,              73,            275,       2926,         1495,         450
  78,          1608,            1532,            336,       639,         174,        122,       397,           0,        129,          3081,              70,            287,       3003,         1532,         445
  79,          1650,            1573,            337,       628,         175,        118,       402,           0,        131,          3160,              77,            289,       3081,         1573,         458
  80,          1707,            1629,            352,       640,         182,        124,       413,           0,        154,          3240,              79,            299,       3160,         1629,         473
  81,          1762,            1683,            366,       694,         187,        132,       418,           0,        141,          3321,              73,            303,       3240,         1683,         483
  82,          1808,            1728,            371,       642,         186,        126,       423,           0,        138,          3403,              78,            310,       3321,         1728,         540
  83,          1852,            1771,            381,       705,         185,        132,       431,           0,        141,          3486,              77,            319,       3403,         1771,         513
  84,          1929,            1847,            396,       653,         198,        130,       436,           0,        140,          3570,              81,            325,       3486,         1847,         529
  85,          1976,            1893,            413,       775,         190,        140,       439,           0,        142,          3655,              83,            333,       3570,         1893,         582
  86,          1985,            1901,            408,       784,         195,        143,       452,           0,        144,          3741,              81,            340,       3655,         1901,         552
  87,          2065,            1980,            437,       732,         201,        138,       464,           0,        148,          3828,              84,            351,       3741,         1980,         627
  88,          2115,            2029,            437,       728,         198,        138,       473,           0,        149,          3916,              83,            359,       3828,         2029,         594
  89,          2169,            2082,            467,       889,         202,        165,       477,           0,        154,          4005,              84,            362,       3916,         2082,         593
  90,          2223,            2135,            458,       766,         204,        144,       484,           0,        153,          4095,              89,            387,       4005,         2135,         607
  91,          2267,            2178,            467,       803,         209,        149,       492,           0,        154,          4186,              86,            380,       4095,         2178,         615
  92,          2326,            2236,            483,       843,         207,        196,       487,           0,        154,          4278,              90,            386,       4186,         2236,         637
  93,          2333,            2242,            495,       815,         209,        149,       492,           0,        156,          4371,              92,            395,       4278,         2242,         641
  94,          2426,            2335,            506,       836,         216,        156,       497,           0,        158,          4465,              91,            409,       4371,         2335,         659
  95,          2504,            2412,            524,       843,         222,        158,       504,           0,        159,          4560,              90,            411,       4465,         2412,         679
  96,          2518,            2425,            524,       849,         221,        158,       509,           0,        180,          4656,              91,            419,       4560,         2425,         692
  97,          2576,            2482,            537,       799,         236,        157,       516,           0,        164,          4753,              92,            433,       4656,         2482,         722
  98,          2578,            2483,            536,       821,         233,        158,       524,           0,        165,          4851,              93,            437,       4753,         2483,         759
  99,          2633,            2537,            552,       842,         223,        156,       535,           0,        173,          4950,              91,            449,       4851,         2537,         766
 100,          2660,            2563,            592,       851,         237,        208,       544,           0,        183,          5050,              95,            455,       4950,         2563,         739
 101,          2740,            2642,            572,       875,         239,        166,       550,           0,        174,          5151,              94,            465,       5050,         2642,         755
 102,          2808,            2709,            581,       907,         236,        169,       559,           0,        177,          5253,              99,            474,       5151,         2709,         769
 103,          2812,            2712,            582,       899,         233,        166,       564,           0,        178,          5356,             100,            485,       5253,         2712,         817
 104,          2915,            2815,            602,       952,         245,        180,       574,           0,        181,          5460,              97,            489,       5356,         2815,         807
 105,          2928,            2827,            608,      1028,         250,        184,       582,           0,        182,          5565,              99,            499,       5460,         2827,         818
 106,          3010,            2908,            625,       993,         243,        180,       581,           0,        181,          5671,             100,            515,       5565,         2908,         833
 107,          3015,            2912,            663,      1047,         247,        189,       585,           0,        183,          5778,             104,            519,       5671,         2912,         841
 108,          3020,            2916,            627,      1043,         252,        192,       597,           0,        191,          5886,             104,            536,       5778,         2916,         921
 109,          3115,            3010,            663,       933,         264,        177,       602,           0,        189,          5995,             102,            535,       5886,         3010,         871
 110,          3127,            3021,            646,       957,         255,        180,       606,           0,        232,          6105,             103,            548,       5995,         3021,         882
 111,          3217,            3110,            667,      1005,         260,        185,       608,           0,        192,          6216,             108,            560,       6105,         3110,         906
 112,          3246,            3138,            669,       985,         277,        191,       629,           0,        195,          6328,             106,            565,       6216,         3138,         914
 113,          3348,            3239,            699,       993,         270,        187,       637,           0,        200,          6441,             107,            615,       6328,         3239,         998
 114,          3409,            3299,            708,       981,         267,        186,       640,           0,        200,          6555,             107,            588,       6441,         3299,         957
 115,          3513,            3402,            735,      1004,         265,        187,       656,           0,        204,          6670,             106,            595,       6555,         3402,         978
 116,          3566,            3454,            740,      1051,         276,        229,       657,           0,        255,          6786,             108,            606,       6670,         3454,         995
 117,          3671,            3558,            764,      1030,         281,        198,       664,           0,        208,          6903,             112,            615,       6786,         3558,        1024
 118,          3686,            3572,            763,      1038,         283,        196,       671,           0,        208,          7021,             116,            627,       6903,         3572,        1032
 119,          3738,            3623,            826,      1081,         278,        202,       684,           0,        211,          7140,             115,            638,       7021,         3623,        1041
 120,          3833,            3717,            796,      1087,         286,        204,       686,           0,        213,          7260,             113,            645,       7140,         3717,        1067
 121,          3883,            3766,            809,      1141,         274,        206,       693,           0,        223,          7381,             114,            676,       7260,         3766,        1079
 122,          3908,            3790,            813,      1180,         283,        211,       697,           0,        216,          7503,             116,            672,       7381,         3790,        1104
 123,          3915,            3796,            816,      1163,         288,        215,       708,           0,        221,          7626,             116,            678,       7503,         3796,        1102
 124,          4000,            3880,            829,      1127,         287,        208,       713,           0,        221,          7750,             118,            689,       7626,         3880,        1128
 125,          4078,            3957,            849,      1134,         304,        212,       720,           0,        221,          7875,             121,            700,       7750,         3957,        1142
 126,          4130,            4008,            852,      1148,         295,        213,       729,           0,        230,          8001,             120,            710,       7875,         4008,        1163
 127,          4193,            4070,            871,      1319,         290,        239,       734,           0,        227,          8128,             124,            730,       8001,         4070,        1178
 128,          4307,            4183,            896,      1349,         299,        236,       742,           0,        229,          8256,             121,            746,       8128,         4183,        1208
 129,          4385,            4260,            914,      1215,         312,        230,       750,           0,        233,          8385,             124,            743,       8256,         4260,        1225
 130,          4498,            4372,            929,      1205,         323,        227,       752,           0,        232,          8515,             128,            763,       8385,         4372,        1246
 131,          4617,            4490,            952,      1327,         328,        241,       759,           0,        236,          8646,             126,            768,       8515,         4490,        1272
 132,          4729,            4601,            985,      1376,         311,        242,       764,           0,        238,          8778,             127,            779,       8646,         4601,        1302
 133,          4836,            4707,           1014,      1281,         316,        235,       774,           0,        241,          8911,             127,            786,       8778,         4707,        1319
 134,          4861,            4731,           1009,      1209,         339,        235,       778,           0,        241,          9045,             129,            802,       8911,         4731,        1341
 135,          4942,            4811,           1027,      1259,         334,        234,       790,           0,        247,          9180,             133,            811,       9045,         4811,        1405
 136,          5034,            4902,           1056,      1288,         339,        241,       797,           0,        259,          9316,             132,            827,       9180,         4902,        1385
 137,          5153,            5020,           1075,      1442,         323,        255,       807,           0,        254,          9453,             134,            833,       9316,         5020,        1409
 138,          5229,            5095,           1080,      1364,         341,        250,       814,           0,        255,          9591,             133,            852,       9453,         5095,        1430
 139,          5242,            5107,           1093,      1346,         338,        249,       818,           0,        257,          9730,             135,            858,       9591,         5107,        1445
 140,          5270,            5134,           1095,      1363,         348,        253,       824,           0,        261,          9870,             134,            870,       9730,         5134,        1459
 141,          5352,            5215,           1126,      1353,         348,        252,       833,           0,        261,         10011,             137,            884,       9870,         5215,        1482
 142,          5368,            5230,           1109,      1377,         350,        257,       838,           0,        263,         10153,             136,            896,      10011,         5230,        1487
 143,          5493,            5354,           1144,      1449,         346,        264,       849,           0,        262,         10296,             138,            915,      10153,         5354,        1520
 144,          5603,            5463,           1165,      1529,         348,        282,       861,           0,        264,         10440,             139,            927,      10296,         5463,        1571
 145,          5657,            5516,           1184,      1469,         360,        265,       866,           0,        266,         10585,             140,            934,      10440,         5516,        1562
 146,          5758,            5616,           1198,      1624,         341,        282,       876,           0,        271,         10731,             140,            949,      10585,         5616,        1586
 147,          5882,            5739,           1221,      1378,         365,        258,       882,           0,        279,         10878,             143,            962,      10731,         5739,        1616
 148,          5954,            5810,           1242,      1432,         361,        267,       885,           0,        271,         11026,             142,            973,      10878,         5810,        1636
 149,          6050,            5905,           1266,      1481,         357,        268,       893,           0,        283,         11175,             145,            988,      11026,         5905,        1661
 150,          6188,            6042,           1291,      1436,         381,        269,       894,           0,        278,         11325,             146,            999,      11175,         6042,        1687
 151,          6262,            6115,           1330,      1491,         369,        272,       901,           0,        281,         11476,             141,           1008,      11325,         6115,        1711
 152,          6283,            6135,           1309,      1690,         362,        294,       911,           0,        282,         11628,             145,           1024,      11476,         6135,        1724
 153,          6405,            6256,           1348,      1542,         370,        279,       921,           0,        283,         11781,             148,           1036,      11628,         6256,        1765
 154,          6414,            6264,           1334,      1525,         372,        277,       929,           0,        285,         11935,             148,           1052,      11781,         6264,        1765
 155,          6494,            6343,           1352,      1464,         381,        273,       933,           0,        287,         12090,             147,           1065,      11935,         6343,        1791
 156,          6619,            6467,           1374,      1468,         376,        277,       951,           0,        290,         12246,             151,           1075,      12090,         6467,        1820
 157,          6657,            6504,           1396,      1495,         392,        278,       960,           0,        293,         12403,             154,           1102,      12246,         6504,        1846
 158,          6661,            6507,           1384,      1458,         398,        279,       961,           0,        293,         12561,             155,           1104,      12403,         6507,        1847
 159,          6779,            6624,           1405,      1495,         395,        280,       971,           0,        297,         12720,             156,           1117,      12561,         6624,        1873
 160,          6813,            6657,           1418,      1586,         392,        289,       983,           0,        302,         12880,             153,           1155,      12720,         6657,        1923
 161,          6903,            6746,           1449,      1526,         394,        283,       990,           0,        352,         13041,             152,           1155,      12880,         6746,        1933
 162,          7023,            6865,           1479,      1615,         401,        320,       999,           0,        322,         13203,             157,           1201,      13041,         6865,        2027
 163,          7090,            6931,           1479,      1648,         407,        302,      1006,           0,        319,         13366,             155,           1173,      13203,         6931,        1967
 164,          7132,            6972,           1497,      1619,         415,        309,      1009,           0,        307,         13530,             156,           1183,      13366,         6972,        1986
 165,          7146,            6985,           1496,      1655,         413,        305,      1017,           0,        309,         13695,             161,           1202,      13530,         6985,        1999
 166,          7155,            6993,           1517,      1643,         418,        306,      1019,           0,        312,         13861,             161,           1215,      13695,         6993,        2012
 167,          7247,            7084,           1570,      1679,         415,        305,      1029,           0,        314,         14028,             166,           1228,      13861,         7084,        2041
 168,          7351,            7187,           1526,      1795,         413,        337,      1041,           0,        319,         14196,             163,           1240,      14028,         7187,        2063
 169,          7474,            7309,           1612,      1738,         409,        316,      1044,           0,        325,         14365,             165,           1291,      14196,         7309,        2135
 170,          7598,            7432,           1643,      1787,         419,        336,      1052,           0,        331,         14535,             166,           1307,      14365,         7432,        2120
 171,          7712,            7545,           1631,      1805,         416,        324,      1056,           0,        343,         14706,             165,           1299,      14535,         7545,        2154
 172,          7883,            7716,           1691,      1849,         419,        328,      1066,           0,        324,         14878,             168,           1299,      14706,         7716,        2189
 173,          7991,            7823,           1668,      1815,         423,        324,      1077,           0,        329,         15051,             159,           1314,      14878,         7823,        2230
 174,          8012,            7843,           1677,      1828,         436,        328,      1089,           0,        334,         15225,             165,           1346,      15051,         7843,        2286
 175,          8098,            7928,           1721,      1818,         443,        336,      1097,           0,        336,         15400,             172,           1366,      15225,         7928,        2267
 176,          8255,            8084,           1716,      1767,         449,        327,      1117,           0,        335,         15576,             172,           1395,      15400,         8084,        2285
 177,          8346,            8174,           1742,      1876,         451,        339,      1124,           0,        338,         15753,             172,           1380,      15576,         8174,        2319
 178,          8435,            8262,           1745,      1801,         442,        329,      1115,           0,        339,         15931,             176,           1392,      15753,         8262,        2340
 179,          8608,            8434,           1849,      1797,         455,        333,      1130,           0,        343,         16110,             170,           1474,      15931,         8434,        2424
 180,          8681,            8506,           1805,      1808,         465,        334,      1136,           0,        341,         16290,             170,           1418,      16110,         8506,        2400
 181,          8809,            8633,           1837,      1802,         464,        336,      1137,           0,        344,         16471,             177,           1435,      16290,         8633,        2430
 182,          8954,            8777,           1865,      1838,         455,        351,      1159,           0,        349,         16653,             175,           1461,      16471,         8777,        2465
 183,          9100,            8922,           1899,      1899,         476,        349,      1162,           0,        350,         16836,             178,           1468,      16653,         8922,        2506
 184,          9137,            8958,           1956,      1894,         466,        355,      1148,           0,        359,         17020,             176,           1531,      16836,         8958,        2580
 185,          9168,            8988,           1963,      1976,         456,        361,      1158,           0,        360,         17205,             178,           1537,      17020,         8988,        2614
 186,          9297,            9116,           1988,      2008,         470,        370,      1174,           0,        365,         17391,             178,           1557,      17205,         9116,        2636
 187,          9474,            9292,           2033,      2093,         459,        375,      1177,           0,        367,         17578,             182,           1571,      17391,         9292,        2681
 188,          9607,            9424,           2058,      2121,         478,        381,      1177,           0,        373,         17766,             184,           1590,      17578,         9424,        2714
 189,          9735,            9551,           2094,      1867,         472,        352,      1191,           0,        369,         17955,             185,           1605,      17766,         9551,        2747
 190,          9785,            9600,           2089,      1958,         477,        367,      1191,           0,        374,         18145,             184,           1621,      17955,         9600,        2769
 191,          9815,            9629,           2157,      2032,         477,        379,      1202,           0,        380,         18336,             185,           1657,      18145,         9629,        2816
 192,          9870,            9683,           2144,      1970,         486,        370,      1212,           0,        381,         18528,             185,           1673,      18336,         9683,        2842
 193,          9912,            9724,           2140,      2017,         486,        375,      1219,           0,        379,         18721,             190,           1676,      18528,         9724,        3166
 194,         10071,            9882,           2377,      2028,         505,        411,      1222,           0,        410,         18915,             184,           1791,      18721,         9882,        2927
 195,         10107,            9917,           2224,      2179,         506,        411,      1231,           0,        396,         19110,             187,           1754,      18915,         9917,        2960
 196,         10211,           10020,           2243,      2227,         493,        424,      1253,           0,        430,         19306,             188,           1776,      19110,        10020,        3016
 197,         10272,           10080,           2271,      2026,         503,        393,      1260,           0,        401,         19503,             192,           1792,      19306,        10080,        3124
 198,         10343,           10150,           2203,      2101,         498,        384,      1259,           0,        383,         19701,             192,           1919,      19503,        10150,        3046
 199,         10391,           10197,           2184,      1901,         503,        364,      1260,           0,        385,         19900,             193,           1744,      19701,        10197,        2913
 200,         10395,           10200,           2167,      1930,         504,        360,      1282,           0,        386,         20100,             194,           1807,      19900,        10200,        3093
 201,         10537,           10341,           2208,      2067,         494,        376,      1292,           0,        411,         20301,             195,           1766,      20100,        10341,        2960
 202,         10646,           10449,           2234,      2311,         502,        406,      1299,           0,        388,         20503,             195,           1868,      20301,        10449,        3105
 203,         10678,           10480,           2228,      2054,         525,        382,      1300,           0,        396,         20706,             196,           1796,      20503,        10480,        3012
 204,         10790,           10591,           2275,      2183,         525,        392,      1314,           0,        406,         20910,             201,           1856,      20706,        10591,        3150
 205,         10952,           10752,           2283,      2301,         509,        402,      1312,           0,        396,         21115,             200,           1825,      20910,        10752,        3082
 206,         10983,           10782,           2289,      2316,         520,        403,      1328,           0,        400,         21321,             200,           1853,      21115,        10782,        3245
 207,         11012,           10810,           2319,      2523,         523,        432,      1332,           0,        401,         21528,             202,           1860,      21321,        10810,        3118
 208,         11160,           10957,           2324,      2393,         514,        410,      1344,           0,        403,         21736,             205,           1886,      21528,        10957,        3330
 209,         11343,           11139,           2377,      2270,         538,        410,      1350,           0,        408,         21945,             205,           1904,      21736,        11139,        3241
 210,         11491,           11286,           2425,      2240,         532,        401,      1364,           0,        408,         22155,             206,           1955,      21945,        11286,        3400
 211,         11622,           11416,           2423,      2223,         533,        399,      1372,           0,        411,         22366,             204,           1937,      22155,        11416,        3264
